"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1775","Check displaying of dashboard page","LMS system","Tue Apr 28 14:58:35 UTC 2026","passed","Tue Apr 28 14:58:37 UTC 2026","Dashboard","Dashboard","",""
"","3059","Edit course","LMS system","Tue Apr 28 14:58:33 UTC 2026","passed","Tue Apr 28 14:58:36 UTC 2026","Courses","Courses","",""
"","1956","User login with wrong email or password","LMS system","Tue Apr 28 14:58:23 UTC 2026","passed","Tue Apr 28 14:58:25 UTC 2026","Authorization","Authentication","",""
"","1934","Registration with correct email, username and password","LMS system","Tue Apr 28 14:58:27 UTC 2026","passed","Tue Apr 28 14:58:29 UTC 2026","Registration","Authentication","",""
"","1541","Navigation from login page to registration page","LMS system","Tue Apr 28 14:58:28 UTC 2026","passed","Tue Apr 28 14:58:30 UTC 2026","Authorization","Authentication","",""
"","1976","User login with wrong email or password","LMS system","Tue Apr 28 14:58:23 UTC 2026","passed","Tue Apr 28 14:58:25 UTC 2026","Authorization","Authentication","",""
"","1453","Check displaying of empty courses list","LMS system","Tue Apr 28 14:58:31 UTC 2026","passed","Tue Apr 28 14:58:32 UTC 2026","Courses","Courses","",""
"","1687","User login with wrong email or password","LMS system","Tue Apr 28 14:58:25 UTC 2026","passed","Tue Apr 28 14:58:27 UTC 2026","Authorization","Authentication","",""
"","2581","Create course","LMS system","Tue Apr 28 14:58:32 UTC 2026","passed","Tue Apr 28 14:58:34 UTC 2026","Courses","Courses","",""
"","3051","User login with correct email and password","LMS system","Tue Apr 28 14:58:25 UTC 2026","passed","Tue Apr 28 14:58:28 UTC 2026","Authorization","Authentication","",""
