"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2132","User login with wrong email or password","LMS system","Wed Apr 22 20:34:04 UTC 2026","passed","Wed Apr 22 20:34:06 UTC 2026","Authorization","Authentication","",""
"","3512","Edit course","LMS system","Wed Apr 22 20:34:15 UTC 2026","passed","Wed Apr 22 20:34:19 UTC 2026","Courses","Courses","",""
"","1871","User login with wrong email or password","LMS system","Wed Apr 22 20:34:07 UTC 2026","passed","Wed Apr 22 20:34:09 UTC 2026","Authorization","Authentication","",""
"","1962","Registration with correct email, username and password","LMS system","Wed Apr 22 20:34:09 UTC 2026","passed","Wed Apr 22 20:34:11 UTC 2026","Registration","Authentication","",""
"","1874","Navigation from login page to registration page","LMS system","Wed Apr 22 20:34:11 UTC 2026","passed","Wed Apr 22 20:34:13 UTC 2026","Authorization","Authentication","",""
"","3717","User login with correct email and password","LMS system","Wed Apr 22 20:34:07 UTC 2026","passed","Wed Apr 22 20:34:10 UTC 2026","Authorization","Authentication","",""
"","2001","User login with wrong email or password","LMS system","Wed Apr 22 20:34:04 UTC 2026","passed","Wed Apr 22 20:34:06 UTC 2026","Authorization","Authentication","",""
"","1536","Check displaying of empty courses list","LMS system","Wed Apr 22 20:34:14 UTC 2026","passed","Wed Apr 22 20:34:15 UTC 2026","Courses","Courses","",""
"","2941","Create course","LMS system","Wed Apr 22 20:34:15 UTC 2026","passed","Wed Apr 22 20:34:18 UTC 2026","Courses","Courses","",""
"","1966","Check displaying of dashboard page","LMS system","Wed Apr 22 20:34:18 UTC 2026","passed","Wed Apr 22 20:34:20 UTC 2026","Dashboard","Dashboard","",""
