"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1710","User login with wrong email or password","LMS system","Thu Apr 23 09:33:16 UTC 2026","passed","Thu Apr 23 09:33:17 UTC 2026","Authorization","Authentication","",""
"","2705","Create course","LMS system","Thu Apr 23 09:33:22 UTC 2026","passed","Thu Apr 23 09:33:25 UTC 2026","Courses","Courses","",""
"","2076","User login with wrong email or password","LMS system","Thu Apr 23 09:33:13 UTC 2026","passed","Thu Apr 23 09:33:15 UTC 2026","Authorization","Authentication","",""
"","3127","User login with correct email and password","LMS system","Thu Apr 23 09:33:16 UTC 2026","passed","Thu Apr 23 09:33:19 UTC 2026","Authorization","Authentication","",""
"","1668","Navigation from login page to registration page","LMS system","Thu Apr 23 09:33:19 UTC 2026","passed","Thu Apr 23 09:33:21 UTC 2026","Authorization","Authentication","",""
"","1634","Check displaying of empty courses list","LMS system","Thu Apr 23 09:33:22 UTC 2026","passed","Thu Apr 23 09:33:23 UTC 2026","Courses","Courses","",""
"","2072","Registration with correct email, username and password","LMS system","Thu Apr 23 09:33:18 UTC 2026","passed","Thu Apr 23 09:33:20 UTC 2026","Registration","Authentication","",""
"","3198","Edit course","LMS system","Thu Apr 23 09:33:24 UTC 2026","passed","Thu Apr 23 09:33:27 UTC 2026","Courses","Courses","",""
"","1847","Check displaying of dashboard page","LMS system","Thu Apr 23 09:33:26 UTC 2026","passed","Thu Apr 23 09:33:28 UTC 2026","Dashboard","Dashboard","",""
"","1996","User login with wrong email or password","LMS system","Thu Apr 23 09:33:13 UTC 2026","passed","Thu Apr 23 09:33:15 UTC 2026","Authorization","Authentication","",""
